14, Male, Karnataka (KA), 6658546700, 162.10136817833282, 73.43899328173931
52, Female, Jammu and Kashmir (JK), 6012029013, 154.7334009830786, 62.23477771411877
40, Male, Gujarat (GJ), 8527921060, 160.9588301072601, 67.32417855815444
82, Female, Sikkim (SK), 7008490747, 177.262218845341, 65.65322775074969
31, Male, Punjab (PB), 7675846175, 163.59772303661956, 67.5914224861786
72, Female, Jammu and Kashmir (JK), 8884813124, 156.07746584841453, 75.25827347766085
90, Female, Meghalaya (ML), 6448069468, 161.03874323557164, 75.9914995166273
59, Male, Tamil Nadu (TN), 8363761220, 173.4397083269231, 72.24878759215851
23, Female, Assam (AS), 8344732114, 145.25107320906469, 75.0312063672708
8, Female, Sikkim (SK), 6214744275, 150.97808798728428, 69.27232137440933
40, Male, Bihar (BR), 8483497459, 161.30071658642416, 74.98384273839041
22, Male, West Bengal (WB), 6532322395, 159.06528817196005, 66.86716159304476
2, Female, West Bengal (WB), 8986111279, 158.21594603925803, 74.80817075204739
46, Male, Mizoram (MZ), 8322486443, 150.25848428607168, 63.791244922665314
78, Female, Uttar Pradesh (UP), 7951331038, 169.45253337172826, 70.22933892243492
13, Male, Mizoram (MZ), 8720881532, 166.67703893247327, 69.06694922432845
59, Female, Jharkhand (JH), 8285957373, 159.7186711862187, 74.0934493679436
65, Female, Meghalaya (ML), 8963541924, 139.49289143869237, 64.78999178431405
36, Male, Odisha(OR), 8312623503, 165.03712968930728, 75.327394987624
79, Female, Madhya Pradesh (MP), 6670055831, 163.13434015640775, 69.20927389454947
49, Male, Sikkim (SK), 7435662094, 170.13394007984448, 69.4625310089947
62, Female, Rajasthan (RJ), 8544071638, 159.43798199949308, 72.2652853214299
62, Female, Haryana (HR), 6823397360, 140.57179310685027, 68.88641949839403
70, Female, Meghalaya (ML), 6667924436, 158.8207205275466, 69.67255349801168
71, Female, Jammu and Kashmir (JK), 6528217857, 164.42656907577603, 68.28336241370506
49, Female, Gujarat (GJ), 8716399929, 161.8660025629538, 69.06319170090082
51, Female, Gujarat (GJ), 8818413755, 156.78036116769925, 70.64111753946176
34, Female, Chhattisgarh (CG), 9399123414, 155.41729991889198, 68.89620107860101
74, Female, Punjab (PB), 8672647835, 148.62107580995516, 68.84347806985265
2, Male, Punjab (PB), 6778380339, 146.25809350263827, 69.25457955359654
28, Male, Telangana (TS), 9257630083, 170.1437124605112, 67.70001076342045
76, Male, Punjab (PB), 8942928487, 153.54009208121641, 70.5470667858485
82, Female, Manipur (MN), 9891218013, 182.3399467625212, 74.48844666164092
46, Male, Uttar Pradesh (UP), 7800686819, 153.90228069835936, 59.60450077669932
6, Female, Uttarakhand (UK), 9737321476, 166.73189881597338, 67.56582997968064
24, Male, Telangana (TS), 8727153447, 159.99027103764425, 64.50202758778997
3, Female, Kerala (KL), 7223816243, 150.8985529830153, 64.30408416380268
